sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
SRR9224538	am	2.76491431727	82	14617	6345953	140.423431936	209.389360559
SRR9224319	am	2.56071616571	89	18090	6880086	182.575340373	246.205788506
SRR9224053	am	3.02762485646	105	18031	9270126	173.88301471	260.239219686
SRR9224357	am	2.27056730915	83	14789	5898753	135.56436172	211.646057954
SRR9224427	am	2.571930083	95	26661	11007675	250.257938092	381.60631066
SRR9224120	am	2.4699242821	95	25790	12539019	246.705993967	372.897078245
SRR9224037	am	2.35908155345	78	13205	5661835	129.11560809	185.60346523
SRR9224230	am	2.30098356248	70	10057	4728464	93.6404299386	144.931043781
SRR9224490	am	2.39768295536	78	15069	6459038	149.256356185	215.164708715
SRR9224525	am	2.61735695363	91	22880	9020961	209.232321707	333.355100789
SRR9224524	am	2.67106462663	93	19442	7671662	172.381911559	278.115820465
SRR9224527	am	2.44140286389	86	22586	9495050	211.140387393	321.451975394
SRR9224346	am	2.36985354128	82	11552	5075100	114.118247282	168.184796252
SRR9224521	am	3.05847701668	89	11037	5233109	105.926019345	157.252361479
SRR9224520	am	2.63012244591	119	24566	9569446	227.337155432	351.056481934
SRR9224523	am	2.63987570266	79	10037	4121877	95.1230445511	143.084641917
SRR9224522	am	2.58144799187	85	14295	5659861	130.001506529	194.600581635
SRR9224329	am	2.32636082205	83	18548	6845896	166.657533572	262.49356271
SRR9224328	am	2.41180812195	99	22194	9928522	214.664914032	312.915995778
SRR9224446	am	2.72600736723	94	19640	8221748	191.563222572	282.612548611
SRR9224447	am	2.37114026191	86	20923	9023721	211.97866195	302.462481819
SRR9224444	am	2.42970562747	78	20036	8230129	200.585195456	294.591923958
SRR9224445	am	2.2897858002	91	26470	10826730	262.10871892	400.256389201
SRR9224198	am	2.54503799331	86	12941	5098147	128.99817111	180.287337481
SRR9224199	am	2.41832050134	95	18565	6999474	183.063199761	261.363755588
SRR9224506	am	2.40568911041	91	17162	7434981	167.605087714	246.291675052
SRR9224371	am	2.67040297082	96	26422	11570942	254.356996124	374.468037214
SRR9224526	am	2.68852586567	102	16851	7256105	153.900944672	241.655210225
SRR9224355	am	3.18527340565	85	9130	4626290	87.4375655785	130.186664875
SRR9224362	am	2.70295662791	89	9993	4477227	91.3814471096	139.634703519
SRR9224518	am	2.48537073958	96	24361	10480866	238.361329699	347.863232685
SRR9224519	am	2.4795365192	93	16604	7086750	157.808739032	237.126355271
SRR9224202	am	2.49593734546	86	22272	8948310	218.691554174	318.78761043
SRR9224204	am	2.47667386069	83	12364	5273304	125.899258852	174.692118334
SRR9224205	am	2.35648707463	77	24045	9325032	241.412657368	342.255553535
SRR9224207	am	2.32143814118	87	16004	6513526	158.249797768	228.015271265
SRR9224208	am	2.35726522105	101	25164	10475440	241.93742405	367.83789831
SRR9224209	am	2.45096788384	88	19793	8518387	194.23614359	293.028858534
SRR9224512	am	2.17146732909	76	14531	6383280	144.791185622	201.702051545
SRR9224513	am	2.21581289188	71	14523	6317945	141.801161711	211.858218553
SRR9224514	am	2.30612888577	89	13056	5527937	127.572742954	193.591551252
SRR9224515	am	3.1303018765	87	6628	2899771	63.8029962495	87.5873735846
SRR9224516	am	2.84185634753	79	3604	1584580	34.249050082	45.539944684
SRR9224517	am	2.47299435293	105	19982	7322001	188.491839778	273.642008817
SRR9224121	am	2.28345968613	92	26895	12264804	266.127648737	382.750059598
SRR9224289	am	2.53910774892	105	19761	8571409	187.719013449	301.023448204
SRR9224354	am	2.43186788901	87	18874	8363743	186.915709912	271.168793651
SRR9224122	am	2.35367010406	91	19242	10031174	179.671317398	288.041757574
SRR9224352	am	2.5752967359	101	15220	6360668	145.967729981	206.976028919
SRR9224350	am	3.0131460208	106	17324	7869802	166.962108005	250.665942854
SRR9224351	am	3.04401343114	112	19861	10076657	190.070394926	299.165826512
SRR9224281	am	2.44412205771	83	15371	7124718	146.401507833	227.0504639
SRR9224284	am	2.29689192848	81	13845	6266180	131.844651774	195.505140223
SRR9224285	am	2.33027654203	84	14305	6274037	139.032272516	212.845488436
SRR9224286	am	2.56737169575	106	22434	9398306	210.653568925	334.993983955
SRR9224287	am	2.20955940035	74	7742	3382760	70.2812084142	105.93149733
SRR9224360	am	2.28415894432	86	14503	6293056	135.737131272	216.888030713
SRR9224510	am	2.41590795656	92	17024	7207436	165.849041443	241.489220383
SRR9224217	am	2.7882705519	100	25766	10963947	252.383814936	359.685812579
SRR9224216	am	2.41120617074	78	17574	7579793	177.00898856	264.862804646
SRR9224214	am	2.38432134072	88	16073	7683939	158.314777724	242.362711517
SRR9224213	am	2.93036573421	91	10096	5040623	99.3419997506	143.861724758
SRR9224212	am	2.83510157734	92	15186	6914258	147.80058996	219.672763374
SRR9224211	am	2.14804832701	69	9930	4597716	96.8667443009	139.475612053
SRR9224210	am	2.29611053375	86	25428	11347203	250.298781109	378.536346784
SRR9224507	am	2.74922028365	86	20109	8833177	194.975739207	292.760608011
SRR9224054	am	3.02752958349	108	20975	11306270	200.401662986	308.824525886
SRR9224505	am	2.79128658514	92	13261	5970903	126.158767722	185.79166955
SRR9224504	am	2.42412531666	90	26839	11448176	264.855029059	397.050168351
SRR9224503	am	2.41199901906	80	23634	10342849	225.973347589	342.0331371
SRR9224502	am	1.81356761382	78	16194	6390409	160.051538346	231.628470199
SRR9224219	am	2.22997810727	76	22280	8528162	224.644739165	314.491356834
SRR9224218	am	2.56803502602	92	21518	8119997	212.878585971	299.813806494
SRR9224345	am	2.04663928062	80	10075	3650664	96.1702847515	138.34719279
SRR9224115	am	2.16827718272	69	6015	2699395	59.13248372	81.0453690532
SRR9224347	am	2.20173291517	81	17452	6340308	168.063821872	248.846142248
SRR9224117	am	2.09262843648	91	14187	6870417	135.120553362	207.343474746
SRR9224341	am	2.60420058905	86	11020	4579458	107.626668477	156.194058876
SRR9224340	am	2.97285588903	92	10561	5392899	101.885050278	157.362106487
SRR9224343	am	2.32073793273	94	24363	10539390	240.339251072	355.319433268
SRR9224342	am	2.8164665986	100	12891	6170527	122.483821014	180.238929821
SRR9224349	am	2.95504992043	107	12392	5184134	118.177886758	173.660570064
SRR9224348	am	2.20152356706	83	11774	4289601	111.558970369	166.103656571
SRR9224290	am	2.39148049164	87	11777	4295010	112.477149828	166.4856341
SRR9224532	am	2.2258346212	71	11834	5217404	117.151054528	165.231817704
SRR9224501	am	2.37492180796	59	4460	1882883	45.0377841637	57.578054495
SRR9224061	am	3.04801732812	100	17922	8169147	173.061020893	262.482342003
SRR9224062	am	2.71283796178	86	14264	6280019	135.76306587	199.889781796
SRR9224108	am	2.39261135414	80	14768	6218013	150.529108319	213.340168183
SRR9224064	am	2.67109585502	75	12305	5170589	119.333139279	177.767135596
SRR9224103	am	2.2956145056	68	8658	3479283	87.6422311993	125.128767732
SRR9224102	am	2.13895129359	84	21102	9138290	209.540859728	303.596417834
SRR9224101	am	2.26530546877	84	23337	9902841	232.390573578	328.215152169
SRR9224100	am	2.66014427039	94	15999	6913324	158.638908733	230.809151809
