sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
SRR9224187	an	2.97787391626	112	23411	8880300	232.484902057	320.527563327
SRR9224184	an	2.70393838035	106	18424	6647595	176.024926034	247.401627747
SRR9224564	an	2.78910714164	99	15663	6072783	156.177477922	219.949837441
SRR9224325	an	2.84963945496	95	12306	5019188	119.788817359	168.276333952
SRR9224457	an	2.65069078556	102	21056	8110073	206.250050468	294.652438987
SRR9224561	an	2.25593888735	79	15358	5432554	152.593742358	204.546438634
SRR9224448	an	2.94815907092	113	20509	8194503	202.518781591	290.468495367
SRR9224239	an	2.86198604397	53	881	381953	8.27376296239	1.05511811024
SRR9224238	an	2.58905590983	117	23401	7957075	217.110479007	322.618568858
SRR9224322	an	2.77829382027	91	8028	2852251	78.2842394762	107.417655808
SRR9224235	an	3.26068137745	105	24391	10723184	241.125506001	335.647964533
SRR9224234	an	3.11294549027	98	15928	6721564	157.505305528	213.537031089
SRR9224237	an	2.75811773756	98	17108	7506252	169.522085023	234.687231934
SRR9224236	an	3.16499668723	109	26260	11221562	259.204025483	375.111995758
SRR9224321	an	2.92589589156	118	18507	6739394	181.488591267	255.149519457
SRR9224233	an	2.39996971708	12	21	11383	0.196165996193	0.0
SRR9224323	an	2.91352981597	102	18195	7043125	177.151068874	247.15774559
SRR9224133	an	3.10448066091	98	18698	7248816	187.849070287	257.827467551
SRR9224273	an	2.83116586485	110	23164	9461166	230.188860579	326.326257785
SRR9224449	an	2.85906713233	92	13612	5096312	133.372316811	190.851545524
SRR9224136	an	3.05907938378	101	19055	8334256	192.479132518	267.630032875
SRR9224137	an	2.89970907803	93	18064	7465254	181.014221348	258.747497283
SRR9224134	an	2.82472309391	103	12922	4785258	123.372077967	177.004017457
SRR9224275	an	2.96361010051	97	20298	10060637	201.031424397	281.672996513
SRR9224279	an	2.831459819	93	15175	5733845	149.171200606	211.714151655
SRR9224240	an	2.65467374924	87	14614	5661954	141.531907452	203.777437688
SRR9224138	an	2.95452778628	104	24206	9430199	241.977702898	340.571975087
SRR9224139	an	2.94092557447	104	15943	6321875	153.122820836	234.454652357
SRR9224565	an	2.94093711659	95	15577	6363245	154.272828655	211.701756349
SRR9224560	an	2.58444099525	108	18557	6595585	183.616042348	266.84889808
SRR9224274	an	3.01916056341	97	12954	5689500	128.304609995	175.330748614
SRR9224452	an	2.96251621285	113	18100	7165971	180.336014082	253.154441806
SRR9224242	an	2.87552146279	106	17746	7154619	174.201576249	251.036274581
SRR9224276	an	3.12733554477	99	19473	8685615	190.712057942	270.177250068
SRR9224451	an	2.8241844116	98	18394	7398634	181.513546379	251.893350753
SRR9224324	an	3.23829305825	107	23439	10056094	231.624835488	329.288867974
SRR9224278	an	3.09409953838	96	16252	8221982	160.086941693	227.148759484
SRR9224563	an	2.77263898142	83	5258	5973931	51.5632503334	92.3401275802
SRR9224453	an	2.58820527704	96	14681	5439666	147.532879523	199.827785258
SRR9224562	an	2.72244164319	90	17024	6639974	170.308467693	237.576434854
SRR9224327	an	2.95566733667	99	15428	5702157	149.042457277	216.462194844
SRR9224203	an	2.93416602792	102	24009	9793481	239.814082844	343.714776997
SRR9224143	an	3.01674570071	105	18615	7106603	183.490005559	260.419659962
SRR9224142	an	2.67887382238	94	15123	5960771	150.550357364	212.515407764
SRR9224141	an	3.08003908109	130	11328	7344916	111.854589122	0.0
SRR9224140	an	2.94038778251	102	14877	5803788	145.79235234	201.151956505
SRR9224450	an	2.85232806524	86	11837	4505220	115.937823131	154.495366799
SRR9224454	an	2.85998023641	107	20860	8218747	202.919942971	298.22482125
SRR9224566	an	2.9168611274	89	17668	6618581	173.565963185	246.45290106
SRR9224318	an	3.03372675586	113	19368	7571660	179.174307334	272.48388975
SRR9224277	an	3.03694195355	105	23578	9955549	230.954203668	335.089099808
SRR9224006	an	2.52138244251	115	16405	6059953	160.512375212	229.396534609
SRR9224241	an	2.93972196999	109	16367	6877683	162.07699952	224.759330234
SRR9224004	an	3.12712878967	98	15838	6497488	158.13403717	223.933661079
SRR9224005	an	3.18282758166	102	10176	4271000	100.623375579	136.183947307
SRR9224280	an	2.62862527704	88	16342	6222869	162.550980903	229.09380686
SRR9224313	an	3.10209315218	129	40440	16153742	391.859750151	591.859882459
SRR9224282	an	3.1951451096	104	15015	6615839	147.787496599	206.644416527
SRR9224283	an	2.81957985596	106	22998	9299786	226.412378118	321.758009263
SRR9224455	an	2.96253596377	116	22262	9295809	219.840001189	307.458992158
SRR9224317	an	3.06439021641	116	23676	9201833	231.60654626	348.022892356
SRR9224314	an	2.94521727059	98	14026	5326453	136.757178337	191.143762778
SRR9224456	an	2.76076315972	99	20529	7917199	199.443206614	296.533118115
