sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
SRR9224401	ao	2.87080897679	102	23342	8188266	219.16551138	331.11841281
SRR9224462	ao	2.64523027347	77	16468	7680890	160.103168439	228.905905662
SRR9224257	ao	2.92100413059	100	14980	6965418	148.248430301	203.613642731
SRR9224292	ao	2.77442934336	91	18164	8366969	178.748750802	251.372944513
SRR9224252	ao	2.98574026263	51	827	384366	7.38893898535	1.096
SRR9224472	ao	2.60531197968	87	14323	7395443	140.800986109	192.042592021
SRR9224487	ao	3.3009964371	128	23022	9927138	216.890267724	305.188901725
SRR9224473	ao	2.60981441707	80	12209	6223603	118.982485419	162.749182822
SRR9224288	ao	2.82043954449	95	16080	8048897	156.329904084	226.923541263
SRR9224074	ao	2.56717615805	102	19354	9459705	189.405962417	273.054819297
SRR9224073	ao	2.59724691922	90	19768	9360884	192.504917393	269.119963624
SRR9224072	ao	2.93615809977	84	20660	8729745	191.842067165	289.013318562
SRR9224071	ao	2.47021794043	88	22981	11125888	225.565036097	317.826792839
SRR9224070	ao	2.54109685099	78	19798	9958578	192.740904052	275.382510444
SRR9224253	ao	3.04498299065	105	19105	8208258	182.493517235	266.961596048
SRR9224159	ao	2.78680982958	82	18574	8571304	182.090655281	256.387320109
SRR9224251	ao	2.57086053613	91	14993	7110088	151.09313932	211.064974489
SRR9224250	ao	2.48133621666	76	16156	8390678	161.401186595	231.353328073
SRR9224172	ao	2.54597849034	82	10583	5211984	102.901425041	138.893285288
SRR9224256	ao	2.69942032821	100	24528	12675489	236.852909972	347.904002504
SRR9224255	ao	2.37275365207	73	10975	6195928	108.444993456	152.655179081
SRR9224300	ao	2.56323880257	78	16116	7829184	160.988529403	226.500195877
SRR9224114	ao	2.66932110166	76	17962	8629919	178.251537194	246.438894664
SRR9224116	ao	3.05621571726	131	24516	11034187	232.162089462	343.404136725
SRR9224405	ao	2.60134004553	81	16194	7598134	158.483023454	222.794522461
SRR9224110	ao	2.68779724716	101	19279	9470614	185.524845368	269.896703157
SRR9224111	ao	2.78859101939	99	33202	16478816	315.198965357	466.842592663
SRR9224017	ao	2.6098261812	83	16413	8209892	159.881241461	223.587422592
SRR9224113	ao	2.75566387266	83	16171	6809193	157.174208844	221.536843129
SRR9224019	ao	2.75980856135	84	11676	5156124	110.520789984	152.036177173
SRR9224018	ao	2.73586799455	91	16244	7946784	159.304710869	223.391647688
SRR9224295	ao	2.52898486215	67	16710	8069854	167.386922556	237.850308763
SRR9224294	ao	2.55460500268	67	15378	7578406	151.660167597	214.648488583
SRR9224293	ao	2.39004215544	77	16892	8879245	165.839872308	236.978861539
SRR9224119	ao	3.08602078227	102	15972	7242608	150.567134709	224.750778932
SRR9224291	ao	2.74165436337	91	13802	6792218	136.357134747	194.71803985
SRR9224403	ao	2.82751307129	89	12472	5022967	119.599714573	170.963133356
SRR9224112	ao	2.81005286295	75	15705	6964243	153.121493834	223.042284374
SRR9224406	ao	2.47956224145	87	15630	7444349	154.78298109	220.419288828
SRR9224135	ao	2.61205733551	90	16086	7387556	160.605274074	216.259305814
SRR9224299	ao	3.115539136	99	11425	4522157	108.760056389	154.027031533
SRR9224297	ao	2.69197110479	78	14975	6852992	146.536935152	209.886311576
SRR9224258	ao	2.82401816176	110	32429	15173944	316.595231821	446.376455226
SRR9224404	ao	2.82790236334	89	16299	7093206	159.272984812	224.109910603
SRR9224296	ao	2.53005667238	76	13851	6650960	138.43076381	195.455459807
SRR9224471	ao	2.48165706601	99	22513	11296691	226.231624745	322.766272315
SRR9224408	ao	2.65628104317	95	17688	8564326	173.464119687	246.445378446
SRR9224168	ao	2.89750858856	77	11058	5044828	107.049716524	152.049228625
SRR9224165	ao	2.57397592404	87	18486	9549978	180.216366126	257.784023723
SRR9224109	ao	2.82036478146	105	19705	9127785	190.030770911	282.627660711
SRR9224169	ao	2.8526562714	82	13427	6061586	131.99157868	185.035703149
SRR9224065	ao	2.37989585774	77	13694	6981643	134.747198232	191.242514963
SRR9224066	ao	2.80061652327	94	14892	6283533	143.707431406	205.281148579
SRR9224067	ao	2.20887125309	73	15645	7987126	157.437546162	211.103207979
SRR9224068	ao	2.98712701062	105	16026	6129289	150.407970231	223.525249641
SRR9224069	ao	2.80660637134	97	24110	10797921	234.513825145	338.634868392
