run_accession,read_count
SRR9224004,6497488
SRR9224005,4271000
SRR9224006,6059953
SRR9224017,8209892
SRR9224018,7946784
SRR9224019,5156124
SRR9224020,8509580
SRR9224021,5579026
SRR9224022,5750156
SRR9224023,6150578
SRR9224024,6761192
SRR9224025,8998342
SRR9224026,9983954
SRR9224037,5661835
SRR9224053,9270126
SRR9224054,11306270
SRR9224061,8169147
SRR9224062,6280019
SRR9224063,8500001
SRR9224064,5170589
SRR9224065,6981643
SRR9224066,6283533
SRR9224067,7987126
SRR9224068,6129289
SRR9224069,10797921
SRR9224070,9958578
SRR9224071,11125888
SRR9224072,8729745
SRR9224073,9360884
SRR9224074,9459705
SRR9224077,4261867
SRR9224078,4452293
SRR9224081,4900575
SRR9224082,4908536
SRR9224083,13099945
SRR9224084,5810606
SRR9224085,4889637
SRR9224086,8301174
SRR9224087,5133459
SRR9224088,4338031
SRR9224089,6511383
SRR9224090,7378998
SRR9224091,8714505
SRR9224092,12489472
SRR9224093,6370155
SRR9224094,10452133
SRR9224095,10013225
SRR9224096,6518269
SRR9224097,7697633
SRR9224098,8271052
SRR9224099,9399217
SRR9224100,6913324
SRR9224101,9902841
SRR9224102,9138290
SRR9224103,3479283
SRR9224104,7205075
SRR9224105,6889005
SRR9224106,10080909
SRR9224107,4926967
SRR9224108,6218013
SRR9224109,9127785
SRR9224110,9470614
SRR9224111,16478816
SRR9224112,6964243
SRR9224113,6809193
SRR9224114,8629919
SRR9224115,2699395
SRR9224116,11034187
SRR9224117,6870417
SRR9224118,6504410
SRR9224119,7242608
SRR9224120,12539019
SRR9224121,12264804
SRR9224122,10031174
SRR9224133,7248816
SRR9224134,4785258
SRR9224135,7387556
SRR9224136,8334256
SRR9224137,7465254
SRR9224138,9430199
SRR9224139,6321875
SRR9224140,5803788
SRR9224141,7344916
SRR9224142,5960771
SRR9224143,7106603
SRR9224146,5447172
SRR9224156,3367915
SRR9224159,8571304
SRR9224160,7840939
SRR9224161,6734330
SRR9224162,7765210
SRR9224163,7423454
SRR9224164,9620660
SRR9224165,9549978
SRR9224166,10377102
SRR9224168,5044828
SRR9224169,6061586
SRR9224171,12231836
SRR9224172,5211984
SRR9224173,10020460
SRR9224174,5851074
SRR9224175,4901985
SRR9224176,9718408
SRR9224177,5856927
SRR9224178,3578540
SRR9224179,5784953
SRR9224180,3201658
SRR9224181,302974
SRR9224182,5195974
SRR9224183,9477557
SRR9224184,6647595
SRR9224187,8880300
SRR9224198,5098147
SRR9224199,6999474
SRR9224202,8948310
SRR9224203,9793481
SRR9224204,5273304
SRR9224205,9325032
SRR9224207,6513526
SRR9224208,10475440
SRR9224209,8518387
SRR9224210,11347203
SRR9224211,4597716
SRR9224212,6914258
SRR9224213,5040623
SRR9224214,7683939
SRR9224216,7579793
SRR9224217,10963947
SRR9224218,8119997
SRR9224219,8528162
SRR9224220,8139768
SRR9224223,9343344
SRR9224224,10349775
SRR9224229,3456798
SRR9224230,4728464
SRR9224233,11383
SRR9224234,6721564
SRR9224235,10723184
SRR9224236,11221562
SRR9224237,7506252
SRR9224238,7957075
SRR9224239,381953
SRR9224240,5661954
SRR9224241,6877683
SRR9224242,7154619
SRR9224243,8660882
SRR9224244,24917
SRR9224245,4627750
SRR9224246,10582407
SRR9224247,6074633
SRR9224248,7718276
SRR9224249,8234732
SRR9224250,8390678
SRR9224251,7110088
SRR9224252,384366
SRR9224253,8208258
SRR9224254,3170664
SRR9224255,6195928
SRR9224256,12675489
SRR9224257,6965418
SRR9224258,15173944
SRR9224259,4584052
SRR9224260,7153717
SRR9224261,4353623
SRR9224264,8508534
SRR9224265,7715020
SRR9224266,8125740
SRR9224267,8392427
SRR9224268,8068685
SRR9224269,7760722
SRR9224270,8587667
SRR9224271,8843804
SRR9224272,8429032
SRR9224273,9461166
SRR9224274,5689500
SRR9224275,10060637
SRR9224276,8685615
SRR9224277,9955549
SRR9224278,8221982
SRR9224279,5733845
SRR9224280,6222869
SRR9224281,7124718
SRR9224282,6615839
SRR9224283,9299786
SRR9224284,6266180
SRR9224285,6274037
SRR9224286,9398306
SRR9224287,3382760
SRR9224288,8048897
SRR9224289,8571409
SRR9224290,4295010
SRR9224291,6792218
SRR9224292,8366969
SRR9224293,8879245
SRR9224294,7578406
SRR9224295,8069854
SRR9224296,6650960
SRR9224297,6852992
SRR9224298,5004691
SRR9224299,4522157
SRR9224300,7829184
SRR9224301,2522103
SRR9224302,4956059
SRR9224303,3493791
SRR9224304,3219827
SRR9224305,6007029
SRR9224306,5452980
SRR9224307,6764845
SRR9224308,6315321
SRR9224309,5040419
SRR9224310,5768738
SRR9224311,8228360
SRR9224312,7643524
SRR9224313,16153742
SRR9224314,5326453
SRR9224315,6399226
SRR9224316,8477575
SRR9224317,9201833
SRR9224318,7571660
SRR9224319,6880086
SRR9224321,6739394
SRR9224322,2852251
SRR9224323,7043125
SRR9224324,10056094
SRR9224325,5019188
SRR9224327,5702157
SRR9224328,9928522
SRR9224329,6845896
SRR9224330,4658320
SRR9224331,7367781
SRR9224332,11846960
SRR9224333,6281860
SRR9224334,6096103
SRR9224335,5417184
SRR9224336,5447658
SRR9224337,3630066
SRR9224338,5204119
SRR9224339,6322413
SRR9224340,5392899
SRR9224341,4579458
SRR9224342,6170527
SRR9224343,10539390
SRR9224344,8867319
SRR9224345,3650664
SRR9224346,5075100
SRR9224347,6340308
SRR9224348,4289601
SRR9224349,5184134
SRR9224350,7869802
SRR9224351,10076657
SRR9224352,6360668
SRR9224354,8363743
SRR9224355,4626290
SRR9224357,5898753
SRR9224359,3965951
SRR9224360,6293056
SRR9224361,7400058
SRR9224362,4477227
SRR9224363,7389994
SRR9224364,5911123
SRR9224365,7052253
SRR9224366,10815760
SRR9224367,8481007
SRR9224368,2589168
SRR9224369,8128719
SRR9224370,10711646
SRR9224371,11570942
SRR9224372,5146669
SRR9224389,6314957
SRR9224391,7600396
SRR9224392,11463974
SRR9224393,10437238
SRR9224394,7434237
SRR9224395,7289875
SRR9224396,7953992
SRR9224397,6789454
SRR9224398,10264543
SRR9224399,10168227
SRR9224400,8239121
SRR9224401,8188266
SRR9224402,7636359
SRR9224403,5022967
SRR9224404,7093206
SRR9224405,7598134
SRR9224406,7444349
SRR9224408,8564326
SRR9224414,3214510
SRR9224415,8388274
SRR9224416,5672602
SRR9224417,10354579
SRR9224418,8522040
SRR9224419,5836756
SRR9224420,1699284
SRR9224421,7676535
SRR9224422,4630547
SRR9224423,6496445
SRR9224424,5524814
SRR9224425,5257928
SRR9224426,5997513
SRR9224427,11007675
SRR9224428,4942934
