,700013600,700015702,700014386,700013672,700014562c,700015250c,700014954,700015922c,700016210,700016000,700016542c,700016716c,700016765,700016960,700016902,700021261,700021123,700021306c,700021295,700021361,700021824,700023066,700021902c,700023113,700021876,700014486,700015113c,700013588,700013693,700014724,700016142c,700016610c,700014498,700015415,700016456,700013715,700015181c,700015857,700013597,700014837,700015981,700013603,700023267,700023188,700023578,700023337,700023390,700023509,700023603,700023634c,700023720c,700023788,700023845,700023872c,700023919c,700024024c,700024086c,700024141,700024233,700024234,700024318,700024349,700024437,700024509,700024449c,700024545c,700024615,700024673,700024711,700024789,700024752,700024866,700024930,700024998,700032068,700032133c,700032222c,700032944,700032413,700033153c,700033201,700033363,700033435,700033502c,700033436,700033665,700033726,700033797,700033922c,700033989,700034081,700034166,700034254,700034565,700034794,700034622,700034838,700034926,700035157,700035237,700035533,700035373,700035747,700035785,700035861,700037008,700037042c,700037090,700037123c,700037284,700037303,700037357,700037405,700037453c,700037539c,700037501c,700037632,700037649,700037738,700037757,700037852,700037916,700037868c,700037967,700038053,700038072c,700038167,700038158,700038263,700038284,700038386,700038414,700038472,700038493,700038546,700038594c,700038761,700038702,700038806c,700038870c,700038918,700038956,700095213,700095058,700096047,700095717,700095287,700095353,700095647,700095486,700095831,700095524,700095410,700096380,700096700,700096865,700097196,700097234,700097482,700097291,700097631,700097837c,700097688,700097906c,700097973,700098267,700098359,700098429,700098561,700098669,700098932,700098867,700099002,700099059,700099512,700099590,700099746,700099803,700099886,700100022,700100227c,700100312,700100432,700100471,700100600,700100540c,700101134,700101243c,700101366,700101534,700101581,700101638,700101840,700101916,700102043,700102242c,700102299,700102432,700102356,700102586c,700102659,700102848,700102905,700103477c,700103479,700103558,700103652c,700103710,700105000,700105049,700105153,700105237c,700105306,700105312,700105580c,700105613,700105517,700105372,700105685,700105771,700105787,700105882,700105940,700105991,700106056,700106065,700106170,700106229c,700106198,700106325c,700106333,700106465,700106412,700106646c,700106504,700106694c,700106754,700106836c,700106876c,700106946,700107059,700107398c,700107189,700107489,700107566c,700107873,700107930,700108095c,700108161c,700108218,700108341,700108530,700108840c,700108896,700109231c,700109383,700109449,700109506,700109564c,700109621,700109921,700109987,700110354,700110089,700110222,700110155,700110419,700110812,700111026,700111156,700111223c,700111296c,700111439,700111505,700111745,700111986,700112046,700112433,700112376,700112490,700112755,700112812c,700113114,700113177,700113705,700113616,700113762,700113810,700113867,700113975,700113954,700114000,700114082,700114125,700114162,700114218,700114653,700114480,700114911,700116028,700116076,700116201,700116148,700116296,700116248,700116358c,700116401,700116468,700116505,700116568c,700116611c,700116730,700116668,700116778c,700116828,700116865,700116917,700117000,700117031,700117069,700117172,700117184,700117239,700117303,700117395,700117537,700117625,700117682,700117755,700117828c,700117766,700117938,700117992,700119042c,700119165,700119307,700119496c,700119562,700119739,700119987,700120572,700120753,700121639,700121919,700122000,700122042,700122108c,700122165c,700122860,700122765,700122408,700123135,700123562,700123700,700123827,700123959,700124429,700124561,700161219,700161342,700161532,700161429,700161533,700161629,700161581,700161742,700161743,700161856,700161872,700161945,700161967,700163030,700163181,700163238,700163296,700163458,700163419,700163521,700163628,700163699,700163772,700163868c,700163811,700163981,700163982,700164159c,700164050,700164192,700164249,700164339,700164354,700164450,700164417,700164611,700164641,700164792,700164686,700164735,700164870,700164891,700164994,700165052,700165148,700165167,700165224,700165263c,700165311,700165455,700165407,700165530,700165634,700165569,700165665,700165778,700165809,700165875,700165986,700166025,700166262,700166643,700166775,700166586,700167107,700166862,700167759,700167825,700171066,700171114,700171115c,700171190,700171324,700171341,700171390,700171441,700171573,700171574,700171679,700171648,700171727c,700171859,700171916c,700172069,700171955,700172068,700172132,700172221,700172279,700172346,700172393,700172461,700172498c,700172726c,700172555,700172621,700172813,700172870,700172927,700173023,700173086,700173119,700173176,700173272,700173320,700173377,700173546,700173483,700173686,700173627,700175181,700175086,700175331
Bacteroides_ovatus_58035,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bacteroides_cellulosilyticus_58046,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False
Bacteroides_thetaiotaomicron_56941,False,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bacteroides_faecis_58503,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True
Bacteroides_xylanisolvens_57185,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
Bacteroides_sartorii_54642,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True
Bacteroides_fragilis_54507,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True
Bacteroides_uniformis_57318,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bacteroides_vulgatus_57955,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Blautia_wexlerae_56130,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True
