species_name,sample_id,pres_genes,total_genes,pres_acc95_genes,total_acc95_genes,pres_acc90_genes,total_acc90_genes,species_avg_pres_genes,strain_number
Acidaminococcus_intestini_54097,700013693,1973,3150,378,1545,238,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700015181c,2381,3150,777,1545,618,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700021123,2325,3150,725,1545,579,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700021902c,2113,3150,521,1545,389,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700023337,2213,3150,608,1545,447,1383,2210.9,2.0
Acidaminococcus_intestini_54097,700023872c,2273,3150,668,1545,506,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700023919c,2164,3150,559,1545,399,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700024086c,2189,3150,590,1545,445,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700024545c,2195,3150,595,1545,442,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700032222c,2280,3150,675,1545,514,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700037453c,2248,3150,643,1545,482,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700037501c,2229,3150,625,1545,472,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700037539c,2250,3150,645,1545,491,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700095287,2017,3150,416,1545,264,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700096865,2212,3150,607,1545,455,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700098267,2298,3150,698,1545,552,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700099002,1519,3150,319,1545,245,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700099512,2356,3150,752,1545,594,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700100022,2320,3150,716,1545,555,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700102356,2249,3150,644,1545,483,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700105237c,2186,3150,582,1545,429,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700105580c,2034,3150,441,1545,302,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700105787,2211,3150,606,1545,448,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700105882,2222,3150,617,1545,455,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700106646c,2169,3150,564,1545,407,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700106836c,2251,3150,646,1545,484,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700107398c,2269,3150,664,1545,503,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700111156,2317,3150,713,1545,554,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700111223c,2297,3150,702,1545,555,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700114000,2363,3150,758,1545,598,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700116358c,2139,3150,536,1545,381,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700116468,0,3150,0,1545,0,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700116505,2192,3150,594,1545,442,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700116568c,2362,3150,757,1545,596,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700116611c,2215,3150,610,1545,452,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700119042c,2244,3150,659,1545,523,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700164159c,2092,3150,487,1545,326,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700166262,2234,3150,630,1545,478,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700166643,2289,3150,684,1545,527,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700167107,2209,3150,604,1545,448,1383,2210.9,1.0
Acidaminococcus_intestini_54097,700173546,2339,3150,734,1545,572,1383,2210.9,1.0
Adlercreutzia_equolifaciens_60310,700165263c,1484,2367,0,883,0,883,1484.0,1.0
Akkermansia_muciniphila_55290,700013600,2335,2913,1643,2221,663,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700013588,2353,2913,1661,2221,685,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700013603,2309,2913,1617,2221,640,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700014386,2337,2913,1645,2221,668,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700014724,2395,2913,1703,2221,723,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700014837,2435,2913,1743,2221,766,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700015702,2410,2913,1718,2221,737,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700016456,2484,2913,1793,2221,828,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700016542c,0,2913,0,2221,0,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700016765,2532,2913,1840,2221,860,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700021295,2355,2913,1664,2221,687,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700023509,2455,2913,1763,2221,784,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700023634c,2443,2913,1751,2221,770,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700023788,2439,2913,1747,2221,769,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700023845,0,2913,0,2221,0,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700023872c,1124,2913,452,2221,139,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700023919c,2310,2913,1620,2221,650,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700024234,2457,2913,1765,2221,786,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700024318,2441,2913,1749,2221,770,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700024509,2437,2913,1745,2221,764,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700024673,2429,2913,1737,2221,757,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700024789,2441,2913,1749,2221,768,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700024998,2386,2913,1694,2221,723,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700033665,2389,2913,1697,2221,716,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700033922c,2212,2913,1537,2221,625,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700034254,2381,2913,1689,2221,711,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700034565,2305,2913,1613,2221,634,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700035785,2350,2913,1660,2221,688,1240,2340.3,1.0
Akkermansia_muciniphila_55290,700037090,2464,2913,1772,2221,791,1240,2340.3,1.0
