sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
700014562	158458797	2.36193506006	103	95963	91687196	914.279540294	880.371906732
700014724	158479027	2.73934894072	134	302837	222847200	2906.67567919	2906.16686937
700014837	158499257	3.10927233435	211	106117	113435704	1013.90113638	1059.71287115
700015181	158742018	2.49690559777	144	245090	165815450	2462.71395492	2343.75002824
700015250	158802708	2.24218469768	199	345980	243730350	3386.62750657	3460.79772817
700015415	158944319	1.77167951077	178	171789	121158898	1624.4196299	1630.95754999
700015981	159247771	2.31100101876	103	137509	122041434	1313.17629593	1269.12479629
700016142	159146620	2.30024521301	90	85116	70291266	853.592949326	983.632362054
700016610	159166850	2.35047976754	170	189104	144113050	1806.23501465	1927.93353554
700033153	159733294	2.91877983624	162	162666	147471226	1551.69770634	1556.8948591
700013715	158337416	3.22410334079	245	119520	107539928	1109.41665208	1118.92981483
700014954	158822939	3.10093337966	180	81377	83351784	840.605481513	824.005213279
700015113	158883629	1.21998459399	84	244975	144354610	2408.61840808	2301.02295379
700015702	158984779	2.95487663659	287	297970	169317812	2898.08082238	2805.21625282
700015857	159369152	1.66361660757	117	155367	110927756	1481.94159766	1434.83053793
700015922	159591683	1.23686694786	72	133480	100467470	1226.06124618	1356.95011573
700016210	159328691	2.5315485036	65	17581	11004040	176.594209055	187.085022961
700016456	159207311	2.63649241181	117	93969	89836098	875.246579863	913.224657092
700016542	159227541	1.83239928323	160	214519	147308582	2082.46789019	2161.00054334
700016716	159288231	2.89970919142	342	344540	241337984	3369.27098067	3292.96414749
700016765	159268001	2.45931700553	144	133832	109474518	1279.1476382	1306.42145664
700016960	159571453	3.02814294474	120	140184	100909172	1322.30609001	1337.86506675
700021295	763516763	3.23436201773	154	53899	39686580	544.364560168	550.78812916
700021306	763496533	3.25726357247	185	111738	122459386	1059.07576411	1127.26345071
700021361	763557224	2.37366816314	138	74934	60613946	754.630938048	742.388004155
700021824	763678604	3.14004026791	134	117721	95218906	1155.50005867	1137.60482921
700021876	763536994	3.09154122603	118	55800	77658320	530.107338474	515.421756255
700021902	763820215	1.81221283205	140	287911	165781570	2815.3844774	2885.60116701
700023066	763698834	2.39364458095	167	59315	44201454	601.348161659	591.033464309
700023113	763577454	3.2583805955	136	108712	81892194	1036.74328596	1099.63441738
700023188	763638144	2.1840938027	79	27157	20070826	275.575243284	298.423379813
700023267	763840445	2.69469639546	107	131254	105745326	1299.39980083	1380.85784627
700023337	763961826	2.68516693666	152	137210	84925536	1354.03213281	1333.0816649
700023390	763719065	1.65508124452	160	80820	55638090	805.640109841	794.01038317
700023509	764002286	2.90173050634	125	76766	60247522	755.077080021	776.619244362
700023578	763860675	3.15906441123	205	93174	100458988	885.02513776	903.42489543
700023603	763880905	3.16973137299	190	53438	41293862	537.359879034	537.727679163
700023634	764062976	2.44501332251	164	130669	141505814	1247.56126795	1311.34286711
700023720	763577454	3.25983630353	253	191277	141870068	1861.59380901	1946.28589979
700023788	763901136	3.05479531332	141	93519	100041732	875.61150984	969.372620966
700023845	763759525	2.03381254512	109	164970	119027476	1561.77728197	1382.78057543
700023872	764143897	3.08552446831	241	127541	134576816	1228.42431187	1195.25464136
700023919	763982056	2.59457165039	185	157540	106253214	1568.78099173	1517.31265353
700024024	764042746	2.16931376543	130	154789	103403590	1477.7232884	1391.95003915
700024086	764083206	2.75590412981	204	528481	404679336	5353.53584276	5263.47182543
700024141	764245047	1.55444461701	86	84697	55036286	852.389368228	864.009782788
700024233	764285508	2.46093451653	180	180000	114850796	1732.10527377	1644.63209637
700024234	764346198	3.14222235975	141	59299	44396888	610.785346572	601.652020127
700024318	764487809	3.07963601308	160	134684	107715808	1306.57778975	1425.32039505
700024349	764467579	2.88761658267	149	61105	48014148	629.773413458	633.31549206
700024437	764224817	3.30163283876	167	126372	102218328	1223.02492085	1216.2493115
700024449	763435843	2.60682413816	189	281343	183971936	2789.70868767	2929.55707613
700024509	764002286	2.82736109744	139	102633	93747862	950.808685371	940.533822713
700024545	764305738	2.32408772962	193	367859	322429192	3814.28402894	4267.47073532
700024615	764325968	2.92517486672	113	132125	91656634	1284.87638114	1264.69762939
700024673	764447348	2.73469421793	102	137710	82996998	1392.70978742	1471.09902866
700024711	764508039	2.14381388468	106	161320	89651910	1631.8943265	1615.98681712
700024752	764588959	2.8286508238	147	84503	106857990	811.116685792	802.466485981
700024789	764366428	2.50411217566	135	82833	47973304	863.445335461	840.143971105
700024866	764649650	2.85525817196	91	38368	29068836	384.204592056	379.535696909
700024930	764669880	2.18427926684	104	142219	96765904	1338.66201769	1315.40420475
700024998	765074482	3.2903985423	149	83431	117676550	800.41249391	817.796701557
700032068	159672603	2.63966721951	62	14797	12833946	153.233614555	141.509873355
700032133	159429842	2.01620062797	236	396366	241961552	4185.64120632	3904.8643152
700032222	159753524	1.62441527503	180	337772	242585366	3120.49479824	3245.12773629
700032413	160036745	2.5945806049	76	12806	10374182	129.089811399	116.277527658
700032944	160421117	1.875406417	99	180575	102270690	1729.33036516	1689.44820193
700033201	159308461	2.40343606084	63	14945	12903434	153.572439697	131.783206523
700033363	159450072	2.3038823791	75	15566	10203626	161.166618475	136.822401291
700033435	159611913	2.85552745283	108	170471	109482908	1606.26221551	1620.10454163
700033502	159490532	2.10530374957	114	213723	120578646	2047.53069669	2011.62369527
700033665	159551223	2.84243948909	135	195207	109314722	1899.97811316	1897.44927461
700033797	159814214	2.12208686296	104	140990	100851654	1367.36672203	1369.01079165
700033922	159510762	2.08072280175	97	142298	99330318	1372.66890663	1378.32384054
700033989	159632143	1.74838524922	114	198605	119792762	1916.48405311	1967.75291935
700034081	160481808	2.15569647354	84	19939	10201720	199.647451527	171.568321492
700034166	160319967	2.7865843588	130	147450	105600608	1473.51216913	1590.30010862
700034254	160502038	3.06178326433	195	160158	102370846	1543.10766853	1480.0495641
700034622	160461578	2.00512681483	62	15242	11569026	160.38358174	146.859616312
700034794	160582958	2.47410440228	114	130809	91182430	1279.34976783	1234.9715944
700034838	160542498	2.63353087131	54	20945	11773620	214.020487582	189.403942829
700034926	160603188	2.77819189582	133	120285	86218246	1164.56041822	1171.02659321
700035157	160441347	2.15847519568	108	71744	43789926	740.289041845	686.670321736
700035237	158357646	2.59105358453	201	69077	91218696	691.803657688	649.530810944
700035373	160056975	1.60298335904	70	57958	38796464	578.39066176	576.905203623
700035533	160158126	2.31232091733	102	178971	109424270	1821.36636709	1934.58548393
700035747	160380657	1.79604467936	159	139641	108881054	1295.84173018	1320.50371742
700035785	160178356	2.87232847091	130	150411	99120690	1411.23989206	1484.48582323
700035861	160218816	2.8391252668	155	135892	95602320	1320.59442371	1257.22786215
700037008	764710340	2.888482641	166	45038	40158916	478.839931088	454.757415516
700037042	765094712	2.4227827184	193	225249	181341408	2188.60538313	2364.26777626
700037090	765155402	2.96489712659	157	81742	64465092	832.761648951	850.829951935
700037123	765013792	2.37525193718	199	110949	91470694	1074.69903858	1144.65032088
700037284	765135172	2.58621223775	104	137416	102254594	1274.736987	1309.49404342
700037303	765256553	3.11185601837	187	65707	49925632	676.951867586	673.176811007
700037357	765216093	1.96072890086	110	80370	51151988	810.579516009	846.00268834
700037405	765276783	2.55525750359	126	70383	42282828	712.641683692	687.805291167
700037453	764305738	2.62703906828	154	414327	332480972	4277.05901932	4630.28632085
700037501	763961826	2.73610500069	160	225478	133133976	2218.6512468	2229.80792849
700037539	764083206	3.07680828133	254	415145	347108546	4201.542526	4138.59250079
700037632	763496533	3.17708598579	120	114159	92979070	1096.37835967	1119.55289102
700037649	765398164	2.07678064792	104	74007	46911382	752.296880366	778.268689746
700037738	765034022	1.82561690128	132	166600	118145068	1613.70245294	1488.56559516
700037757	765377934	2.50624152322	111	34912	53551438	371.565203937	368.812283311
700037852	765337473	2.42562839892	126	130141	98392320	1335.44543164	1293.07083704
700037868	765560005	2.58065884274	200	240721	163329418	2341.79825456	2362.02397247
700037916	765519544	3.28484176533	145	69506	62187712	716.123775835	714.444051391
700037967	765317243	2.35147809482	116	58577	49156880	626.918711271	581.280614206
700038053	763597684	3.1332080584	139	93547	80682806	927.436404164	941.132577052
700038072	765620695	2.7906273636	189	230134	177544464	2184.90364779	2224.75883947
700038158	763678604	2.9952855156	145	119224	99612972	1131.52000393	1113.07593775
700038167	765539774	2.30456317322	116	71051	46763320	756.657232244	723.208744253
700038263	764669880	2.54898071221	101	137067	102533552	1260.11396807	1277.35646689
700038284	765661155	2.83207355879	128	30484	27653116	311.517274204	302.237090459
700038386	764892411	2.62727383728	130	73505	55042664	628.26574546	577.126909697
700095213	160643649	2.65230183284	133	166338	98570212	1568.48448061	1591.04902272
700095486	160400887	3.15695501682	161	136765	114746216	1344.03298614	1353.94760082
700095524	160663879	2.72667541911	93	18366	11635766	193.936367327	174.530521529
700095647	160704339	3.15179951432	188	120182	94256078	1127.9473857	1172.7336103
700095717	160684109	2.64158902471	107	64531	43909160	660.262685958	631.985110785
700095831	160845950	2.04563078666	53	15364	10294240	159.26675397	143.435110616
700096047	160947100	1.91511499994	133	147082	97475682	1498.4446324	1438.0484952
700096380	160765029	2.56210383247	159	93966	91265440	896.391594041	892.547608203
700096700	161007791	1.57778355956	114	86387	77121352	881.763787199	830.642484892
700096865	161230322	2.28567909042	147	205578	125189274	2126.39052929	2016.67910794
700097196	158479027	2.64889372225	103	201045	116962438	2023.43294987	1954.63288577
700097688	158256496	3.00621970098	161	125849	96189336	1261.31889934	1242.94094022
700097837	158337416	2.91653870647	119	134709	97288548	1324.20398056	1343.22931834
700097906	638754422	2.48447328436	145	156346	111245614	1579.79985388	1553.442132
700098429	809635352	3.03122636379	102	26265	20745022	274.614237285	250.669969796
700098561	158499257	2.52337347001	172	148690	114463834	1402.7064524	1446.27454668
700098669	370425937	2.10014920143	135	94036	87554746	943.652491093	999.283973927
700099512	246515023	1.75272404115	86	97733	82093444	968.052747985	1057.48020308
700099803	158802708	2.88272708162	149	152168	106255184	1481.51946083	1526.1547187
700099886	159005010	2.58519021401	99	137886	90568444	1369.44764888	1392.00657696
700100022	158721788	3.388493737	154	78546	49354938	799.669406476	742.29038914
700100227	158883629	1.59753353718	93	214705	162428632	2036.0064849	2000.49297837
700100312	159268001	2.61759491313	123	105208	116451834	1005.31175428	983.147983998
700100432	159369152	1.87573078879	97	167687	117401478	1607.90753431	1578.71721106
700100471	159247771	2.30210897956	97	142151	101965786	1434.93568282	1373.94739378
700100540	159510762	2.35464487505	107	174521	148428726	1681.20162276	1676.39739873
700100600	159207311	2.89518322419	152	131594	99083824	1256.78489286	1260.60925872
700101243	158944319	2.45073542729	140	102464	70203290	958.230516685	1035.07008198
700101366	159551223	2.80189951515	133	162143	103111950	1533.27931998	1548.71958269
700101534	159713063	2.0778447111	88	169680	119684324	1640.64156909	1665.53464733
700101581	159571453	3.00495468339	124	114242	109147520	1091.59796839	1112.2235252
700101638	159389382	2.94930215668	134	68591	41667168	714.381913411	661.13663204
700101840	159591683	1.82296791381	89	132586	89996448	1218.07565952	1296.15366576
700101916	159611913	2.55137824989	105	144591	97254716	1341.81935137	1327.34462904
700102043	368533040	1.91773804988	143	144657	98102758	1440.66056757	1618.24738523
700106646	763982056	2.37836157881	184	154516	107313402	1556.32110533	1552.84835103
700106876	764811490	2.23820677185	168	173455	108392140	1735.40275647	1648.97281439
700109231	638754422	2.44267293754	116	159276	115951088	1574.83004912	1575.40957432
700105771	764447348	2.0888181369	195	118670	94376534	1096.53083397	1120.1697729
700103477	763860675	3.19609301374	204	171341	136837564	1695.09607752	1714.5604061
700106325	550534656	2.47295927001	127	194887	155712944	1850.03971355	1941.65700412
700108218	160704339	2.79856866606	116	52579	39055038	534.561938308	502.723853481
700106836	764143897	2.81627787761	126	224664	154233066	2232.63081796	2216.34223762
700103710	763759525	2.71977070607	118	101043	68110782	1021.85902293	984.044131475
700102659	840279516	1.58269411463	135	152699	92055860	1512.19997124	1682.58917168
700107059	159814214	2.15380435549	149	167045	110978742	1583.68800649	1588.27075238
700105049	178713055	3.20323435727	221	82159	69782138	837.345257112	811.905570959
700106412	517810313	2.5765299128	152	58683	36383104	615.118731732	627.258490533
700106694	764224817	1.53578808672	137	235927	133472890	2317.65183722	2420.65285361
700103558	863126187	2.34206267687	198	135084	81671788	1378.93630488	1461.65666101
700108840	160603188	2.9130328866	184	131681	104219988	1311.9327056	1368.16508166
700102299	604812005	2.69660885149	159	200525	125470422	2075.97909318	1988.73467974
700105940	658594300	2.22240992093	184	88539	58512450	914.994530217	954.45649215
700038546	763880905	2.50858599755	127	76365	58740852	789.301636062	764.077174096
700107398	159753524	2.71678136917	284	410522	297805500	4050.38079603	3978.97083334
700110419	604812005	2.73853653704	146	158536	106425244	1628.02527166	1596.7285238
700038594	404239096	2.83637754206	319	271782	186797784	2611.98319918	2714.61527018
700108161	160421117	2.21133352376	160	188732	113036218	1909.548284	1867.40212148
700105613	953045535	3.09367878709	156	89715	56820332	921.997915344	926.427666713
700109564	160178356	2.90268306049	183	236485	145254390	2400.50656607	2360.30318842
700105312	516889361	2.43339651169	117	60638	45660410	629.254961263	611.495566018
700110089	160643649	3.00560829928	138	61767	40555482	620.14529722	604.765110753
700105787	375450439	3.29837536205	214	26123	34711418	259.913098971	243.967186518
700106504	553359145	1.92428003088	104	71208	57573524	711.608954472	801.039402168
700038493	763476303	2.86511173967	131	55465	42459500	567.908838853	592.658240077
700105000	275382046	1.25353181453	75	8513	6498170	85.1186524809	71.697945787
700105580	765074482	2.85466994199	209	218031	147895462	2012.8467844	2072.56092332
700105237	763820215	1.38446266061	127	216164	135109484	2128.4636837	2049.16810377
700105991	465578759	3.09584408852	175	60623	40513492	620.390284423	600.290206686
700105685	763456073	2.75753534991	145	66311	52641176	699.819148006	783.19877232
700038870	861967750	2.83871576916	172	197134	141400822	1958.78605515	1915.44069855
700102586	159227541	2.86113473662	131	226659	167839340	2237.19281274	2243.6431998
700106056	764184357	2.60235492742	114	118525	93398542	1172.16527522	1150.15798191
700102905	159146620	2.49297688705	88	64728	47948420	662.960094387	647.560709083
700108095	160502038	2.84860247012	198	141360	90198104	1423.71362853	1334.35515448
700105153	612472597	2.82073207725	153	76830	56086242	769.209882854	781.056729763
700106198	823052294	1.46798469204	173	181045	118880510	1692.94074316	1822.30247001
700038702	763698834	3.10995105533	185	94367	72575794	965.715490134	977.008560937
700102242	159166850	2.34010873865	302	400736	232024088	3871.79465562	3961.53116102
700107189	686765762	1.72993795161	118	186007	134774174	1872.66902996	1839.35588741
700038414	765701615	3.19211624566	127	63922	107707628	597.792361531	615.293483933
700109621	160319967	2.57364319018	150	129895	87360086	1337.43169965	1376.48969133
700038472	763536994	3.03844871002	172	106342	73139036	992.502228934	976.0808609
700108341	159470302	2.49820387683	73	17193	9681088	177.785216846	157.64993898
700038806	765640925	2.7143466143	203	153395	150404344	1475.95826162	1526.96897849
700108896	160218816	2.57948739809	63	13590	9529204	144.326862624	132.392223073
700105882	668248235	3.02212049079	156	77740	48174912	803.204744147	788.585045552
700106946	147406386	3.00294764205	212	11663	7975718	118.253659674	91.038754668
700105517	765155402	2.94677448643	170	32641	24883332	330.176347241	334.851308687
700105372	764487809	2.75280530524	152	137436	110225992	1328.84068252	1335.02371526
700103479	132902142	2.729481953	226	57009	42498720	579.925466353	531.111788239
700102356	159490532	2.51499853884	117	148824	114103932	1387.62191294	1372.39432137
700107930	160056975	2.40273525361	82	62403	46010908	641.828668269	646.823784438
