sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig
700014562	158458797	2.27111024318	75	22673	20000000
700014724	158479027	2.73023859062	86	26728	20000000
700014837	158499257	3.10898753394	150	18900	20000000
700015181	158742018	2.46670910143	96	29791	20000000
700015250	158802708	2.05818096165	109	26784	20000000
700015415	158944319	1.70962299296	104	27888	20000000
700015981	159247771	2.24860946876	76	22486	20000000
700016142	159146620	2.30731859464	59	23746	20000000
700016610	159166850	2.35143529073	120	25665	20000000
700033153	159733294	2.90790929444	103	21285	20000000
700013715	158337416	3.20530431824	168	22660	20000000
700014954	158822939	3.09621068468	139	19585	20000000
700015113	158883629	1.22874915242	50	34332	20000000
700015702	158984779	2.94279044983	158	35488	20000000
700015857	159369152	1.67163830483	84	28494	20000000
700015922	159591683	1.24696736648	54	27213	20000000
700016210	159328691	2.53199193347	65	17581	11004040
700016456	159207311	2.59446811278	97	20856	20000000
700016542	159227541	1.87974222057	107	29352	20000000
700016716	159288231	2.68544220053	163	27505	20000000
700016765	159268001	2.47432364799	93	24161	20000000
700016960	159571453	3.02721658821	90	28283	20000000
700021295	763516763	3.23615325305	137	27200	20000000
700021306	763496533	3.24390794137	126	17815	20000000
700021361	763557224	2.38372628627	109	24880	20000000
700021824	763678604	3.15290732923	102	24558	20000000
700021876	763536994	3.08176435604	89	14073	20000000
700021902	763820215	1.75085107788	54	33720	20000000
700023066	763698834	2.38131987826	134	27023	20000000
700023113	763577454	3.26968859872	111	26538	20000000
700023188	763638144	2.18371224319	80	27077	20000000
700023267	763840445	2.69572600859	85	24876	20000000
700023337	763961826	2.69683837569	120	32620	20000000
700023390	763719065	1.65649994889	123	29274	20000000
700023509	764002286	2.90793226472	100	25863	20000000
700023578	763860675	3.1372535411	135	18585	20000000
700023603	763880905	3.16953954666	170	26088	20000000
700023634	764062976	2.38495502411	96	18455	20000000
700023720	763577454	3.22265626769	117	27098	20000000
700023788	763901136	3.04743533844	92	17836	20000000
700023845	763759525	2.05258810964	73	27772	20000000
700023872	764143897	3.04663087438	141	19290	20000000
700023919	763982056	2.54152231764	123	28527	20000000
700024024	764042746	2.04817078456	68	29051	20000000
700024086	764083206	2.75592554672	96	25537	20000000
700024141	764245047	1.55620991576	66	31149	20000000
700024233	764285508	2.46812269901	120	31262	20000000
700024234	764346198	3.13985531733	121	26577	20000000
700024318	764487809	3.09525859472	120	24883	20000000
700024349	764467579	2.89247241169	126	25639	20000000
700024437	764224817	3.30586954589	126	24801	20000000
700024449	763435843	2.5610011565	89	29678	20000000
700024509	764002286	2.82163100865	98	21905	20000000
700024545	764305738	2.32384092789	74	22824	20000000
700024615	764325968	2.91403100415	84	28204	20000000
700024673	764447348	2.72363267247	79	33442	20000000
700024711	764508039	2.15515246683	82	35938	20000000
700024752	764588959	2.82660632374	99	16130	20000000
700024789	764366428	2.50968330007	115	34660	20000000
